symbol,name,isin,exchange,series,sector,industry,tags
GAIL,GAIL (India) Limited,INE129A01019,NSE,EQ,,Gas Transmission/Marketing,nifty100|nifty500|largecap
GALLANTT,Gallantt Ispat Limited,INE297H01019,NSE,EQ,,Iron & Steel Products,nifty500|niftysmallcap250|midcap
GESHIP,The Great Eastern Shipping Company Limited,INE017A01032,NSE,EQ,,Shipping,nifty500|niftysmallcap250|midcap
GHCL,GHCL Limited,INE539A01019,NSE,EQ,,Commodity Chemicals,niftymicrocap250|smallcap
GICRE,General Insurance Corporation of India,INE481Y01014,NSE,EQ,,General Insurance,nifty500|niftymidcap150|midcap
GILLETTE,Gillette India Limited,INE322A01010,NSE,EQ,,Personal Care,nifty500|niftysmallcap250|midcap
GLAND,Gland Pharma Limited,INE068V01023,NSE,EQ,,Pharmaceuticals,nifty500|niftysmallcap250|midcap
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,NSE,EQ,,Pharmaceuticals,nifty500|niftymidcap150|midcap
GLENMARK,Glenmark Pharmaceuticals Limited,INE935A01035,NSE,EQ,,Pharmaceuticals,nifty500|niftymidcap150|midcap
GMDCLTD,Gujarat Mineral Development Corporation Limited,INE131A01031,NSE,EQ,,Industrial Minerals,nifty500|niftysmallcap250|midcap
GMMPFAUDLR,GMM Pfaudler Limited,INE541A01023,NSE,EQ,,Industrial Products,niftymicrocap250|smallcap
GMRAIRPORT,GMR AIRPORTS LIMITED,INE776C01039,NSE,EQ,,Airport & Airport services,nifty500|niftymidcap150|midcap
GMRP&UI,GMR Power and Urban Infra Limited,INE0CU601026,NSE,EQ,,Power Generation,niftymicrocap250|smallcap
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,NSE,EQ,,Commodity Chemicals,niftymicrocap250|smallcap
GODFRYPHLP,Godfrey Phillips India Limited,INE260B01028,NSE,EQ,,Cigarettes & Tobacco Products,nifty500|niftymidcap150|midcap
GODIGIT,Go Digit General Insurance Limited,INE03JT01014,NSE,EQ,,General Insurance,nifty500|niftysmallcap250|midcap
GODREJAGRO,Godrej Agrovet Limited,INE850D01014,NSE,EQ,,Animal Feed,niftymicrocap250|smallcap
GODREJCP,Godrej Consumer Products Limited,INE102D01028,NSE,EQ,,Personal Care,nifty100|nifty500|largecap
GODREJIND,Godrej Industries Limited,INE233A01035,NSE,EQ,,Diversified,nifty500|niftymidcap150|midcap
GODREJPROP,Godrej Properties Limited,INE484J01027,NSE,EQ,,Residential Commercial Projects,nifty500|niftymidcap150|midcap
GOKEX,Gokaldas Exports Limited,INE887G01027,NSE,EQ,,Garments & Apparels,niftymicrocap250|smallcap
GOKULAGRO,Gokul Agro Resources Limited,INE314T01033,NSE,EQ,,Edible Oil,niftymicrocap250|smallcap
GPIL,Godawari Power And Ispat limited,INE177H01039,NSE,EQ,,Iron & Steel Products,nifty500|niftysmallcap250|midcap
